problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_3D_sto3g,5,15,449,51168,RANDOM,80,80,178,176469,0.005693,0.00123364,0.00138551,0,1056
H4_3D_sto3g,1736,15,449,51168,RANDOM,80,80,178,177163,0.0056463,0.00122031,0.00134442,0,1056
H4_3D_sto3g,340955,15,449,51168,RANDOM,80,80,178,178514,0.0057304,0.00119665,0.00132339,0,1056
H4_3D_sto3g,82674392,15,449,51168,RANDOM,80,80,178,175134,0.00552604,0.00115194,0.00132444,0,1056
H4_3D_sto3g,234853455,15,449,51168,RANDOM,80,80,177,176200,0.00578803,0.00118882,0.00181636,0,1056
H4_2D_sto3g,5,11,657,109224,RANDOM,88,88,184,304602,0.0103944,0.00242994,0.0027994,0,2112
H4_2D_sto3g,1736,12,657,109224,RANDOM,95,95,187,319408,0.0108379,0.00242271,0.00292156,0,2112
H4_2D_sto3g,340955,12,657,109224,RANDOM,93,93,174,312675,0.0106986,0.00247745,0.00283122,0,2112
H4_2D_sto3g,82674392,12,657,109224,RANDOM,95,95,187,316403,0.0105772,0.00240857,0.00288575,0,2112
H4_2D_sto3g,234853455,12,657,109224,RANDOM,93,93,180,312982,0.0105454,0.00239773,0.00284911,0,2112
H4_1D_sto3g,5,12,689,120264,RANDOM,95,95,186,337242,0.0112986,0.00270431,0.0030841,0,2376
H4_1D_sto3g,1736,12,689,120264,RANDOM,96,96,189,336110,0.0113727,0.00253665,0.00307319,0,2376
H4_1D_sto3g,340955,11,689,120264,RANDOM,94,94,191,336932,0.0116467,0.00257769,0.0031319,0,2376
H4_1D_sto3g,82674392,12,689,120264,RANDOM,96,96,186,340025,0.0114814,0.00260298,0.00308642,0,2376
H4_1D_sto3g,234853455,11,689,120264,RANDOM,93,93,188,337417,0.0112381,0.00260161,0.00308349,0,2376
H6_3D_sto3g,5,16,8721,19178632,RANDOM,814,814,873,34423874,1.62468,1.11562,0.570613,0,244368
