problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,max_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H2_631g,5,1,89,1988,LIST,2,2,40,1989,1988,0.00010131,4.5465e-05,1.573e-05,0,528
H2_631g,1736,1,89,1988,LIST,2,2,48,1989,1988,0.000102162,3.8672e-05,1.5529e-05,0,528
H2_631g,340955,1,89,1988,LIST,2,2,40,1989,1988,0.000102191,3.9454e-05,1.5038e-05,0,528
H2_631g,82674392,1,89,1988,LIST,2,2,51,1989,1988,9.3616e-05,3.4966e-05,1.5349e-05,0,528
H2_631g,234853455,1,89,1988,LIST,2,2,48,1989,1988,9.5931e-05,3.4956e-05,1.5609e-05,0,528
H2_6311g,5,3,225,12688,LIST,13,13,61,22898,12688,0.000929062,0.000354315,0.000168325,0,792
H2_6311g,1736,4,225,12688,LIST,16,16,55,25905,12688,0.00105505,0.00038918,0.000189234,0,792
H2_6311g,340955,4,225,12688,LIST,17,17,54,26947,12688,0.00108383,0.000396805,0.000210355,0,792
H2_6311g,82674392,3,225,12688,LIST,13,13,57,22678,12688,0.000949549,0.000348684,0.000168406,0,792
H2_6311g,234853455,3,225,12688,LIST,14,14,57,23955,12688,0.0010494,0.000392064,0.000188685,0,792
H4_3D_sto3g,5,15,449,51168,LIST,81,81,180,177355,51168,0.00582554,0.00135401,0.00140982,0,1056
H4_3D_sto3g,1736,16,449,51168,LIST,83,83,178,183320,51168,0.0060758,0.00138035,0.00140989,0,1056
H4_3D_sto3g,340955,15,449,51168,LIST,80,80,179,178979,51168,0.00586553,0.00135771,0.0014257,0,1056
H4_3D_sto3g,82674392,15,449,51168,LIST,81,81,177,177658,51168,0.00582968,0.00135983,0.00137595,0,1056
H4_3D_sto3g,234853455,15,449,51168,LIST,80,80,177,174710,51168,0.00587451,0.00133499,0.00139535,0,1056
H4_2D_sto3g,5,12,657,109224,LIST,93,93,188,311658,109224,0.010786,0.00258712,0.00291565,0,2112
H4_2D_sto3g,1736,12,657,109224,LIST,95,95,188,317551,109224,0.0112028,0.00259559,0.00304641,0,2112
H4_2D_sto3g,340955,12,657,109224,LIST,92,92,179,310742,109224,0.01085,0.0025264,0.00290784,0,2112
H4_2D_sto3g,82674392,12,657,109224,LIST,95,95,189,318597,109224,0.0109472,0.00253499,0.00296919,0,2112
H4_2D_sto3g,234853455,12,657,109224,LIST,95,95,189,325497,109224,0.0111006,0.00250233,0.00298267,0,2112
H4_1D_sto3g,5,12,689,120264,LIST,95,95,183,334798,120264,0.0122093,0.0028367,0.00313183,0,2376
