problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H2_631g,5,1,89,1988,LIST,11,8,27,1989,0.000114404,0.000181821,4.7889e-05,0,528
H2_631g,1736,1,89,1988,LIST,11,8,31,1989,0.000107171,0.000152716,4.7219e-05,0,528
H2_631g,340955,1,89,1988,LIST,11,8,27,1989,0.000107762,0.000160391,4.8961e-05,0,528
H2_631g,82674392,1,89,1988,LIST,11,8,28,1989,0.000105358,0.0001656,5.1236e-05,0,528
H2_631g,234853455,1,89,1988,LIST,11,8,28,1989,0.000111449,0.000157445,4.7949e-05,0,528
H2_6311g,5,1,225,12688,LIST,28,10,62,12638,0.000856115,0.000561563,0.000116779,0,792
H2_6311g,1736,1,225,12688,LIST,28,10,56,12643,0.000853721,0.000576621,0.000115376,0,792
H2_6311g,340955,1,225,12688,LIST,28,10,63,12641,0.000853481,0.000550202,0.000113563,0,792
H2_6311g,82674392,1,225,12688,LIST,28,10,54,12637,0.0008582,0.000598131,0.000113403,0,792
H2_6311g,234853455,1,225,12688,LIST,28,10,63,12652,0.00085312,0.000557356,0.000115947,0,792
H4_3D_sto3g,5,3,449,51168,LIST,89,31,168,58783,0.00439678,0.00148741,0.000344387,0,1056
H4_3D_sto3g,1736,3,449,51168,LIST,89,31,171,59099,0.00430923,0.00149942,0.00034124,0,1056
H4_3D_sto3g,340955,3,449,51168,LIST,91,31,169,59748,0.0044108,0.00147864,0.000339738,0,1056
H4_3D_sto3g,82674392,3,449,51168,LIST,91,31,168,59706,0.004333,0.0014834,0.000342632,0,1056
H4_3D_sto3g,234853455,3,449,51168,LIST,90,31,169,59243,0.00425296,0.00150051,0.000349636,0,1056
H4_2D_sto3g,5,2,657,109224,LIST,110,22,176,107960,0.0101869,0.00252589,0.000405952,0,2112
H4_2D_sto3g,1736,2,657,109224,LIST,108,22,177,106508,0.0100746,0.00251792,0.000406333,0,2112
H4_2D_sto3g,340955,2,657,109224,LIST,110,22,182,108182,0.0101045,0.00250979,0.000409037,0,2112
H4_2D_sto3g,82674392,2,657,109224,LIST,108,22,173,106027,0.00983443,0.00253058,0.000405651,0,2112
H4_2D_sto3g,234853455,2,657,109224,LIST,108,22,179,106444,0.00992769,0.00249948,0.000406662,0,2112
H4_1D_sto3g,5,2,689,120264,LIST,111,23,174,118561,0.0107542,0.00280565,0.000443422,0,2376
H4_1D_sto3g,1736,2,689,120264,LIST,112,23,180,119901,0.010881,0.00278141,0.000448151,0,2376
H4_1D_sto3g,340955,2,689,120264,LIST,111,23,176,118782,0.0107709,0.00281948,0.000450566,0,2360
H4_1D_sto3g,82674392,2,689,120264,LIST,110,23,169,118465,0.0107485,0.00286138,0.000455704,0,2376
H4_1D_sto3g,234853455,2,689,120264,LIST,112,23,167,119410,0.0108521,0.00284607,0.000454563,0,2360
H6_3D_sto3g,5,4,8721,19178632,LIST,1370,52,1393,5517938,3.12586,0.110553,0.00768646,0,81560
H6_3D_sto3g,1736,4,8721,19178632,LIST,1369,53,1390,5508146,3.14731,0.11125,0.00768453,0,81760
H6_3D_sto3g,340955,4,8721,19178632,LIST,1375,53,1399,5520894,3.12689,0.112244,0.00770469,0,81564
H6_3D_sto3g,82674392,4,8721,19178632,LIST,1366,52,1388,5501420,3.15026,0.110082,0.00768707,0,81488
H6_3D_sto3g,234853455,4,8721,19178632,LIST,1367,52,1391,5506688,3.13659,0.112717,0.00767895,0,81552
H6_2D_sto3g,5,4,18137,82641188,LIST,2799,58,2825,13726935,14.8828,0.300372,0.0168415,0,168776
H6_2D_sto3g,1736,4,18137,82641188,LIST,2795,58,2821,13699208,14.8399,0.301123,0.0167411,0,168740
H6_2D_sto3g,340955,4,18137,82641188,LIST,2802,58,2833,13735224,14.8429,0.304164,0.0165976,0,168956
H6_2D_sto3g,82674392,4,18137,82641188,LIST,2794,58,2822,13695695,14.8607,0.299329,0.016505,0,168720
