problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H2_631g,5,1,89,1988,LIST,4,4,42,1989,0.000110257,6.8308e-05,3.2391e-05,0,528
H2_631g,1736,1,89,1988,LIST,4,4,48,1989,0.000109055,5.8399e-05,3.1088e-05,0,528
H2_631g,340955,1,89,1988,LIST,4,4,39,1989,9.2974e-05,7.6023e-05,3.0818e-05,0,528
H2_631g,82674392,1,89,1988,LIST,4,4,43,1989,0.000100378,7.8587e-05,3.0688e-05,0,528
H2_631g,234853455,1,89,1988,LIST,4,4,38,1989,9.8585e-05,7.5752e-05,3.0357e-05,0,528
H2_631g,5,1,89,1988,LIST,6,6,41,1989,9.5218e-05,0.00011191,4.8582e-05,0,528
H2_631g,1736,1,89,1988,LIST,6,6,44,1989,9.596e-05,9.3015e-05,5.0535e-05,0,528
H2_631g,340955,1,89,1988,LIST,6,6,40,1989,0.000103314,9.618e-05,4.9723e-05,0,528
H2_631g,82674392,1,89,1988,LIST,6,6,46,1989,9.3425e-05,9.1642e-05,4.8141e-05,0,528
H2_631g,234853455,1,89,1988,LIST,6,6,37,1989,9.4688e-05,0.000102673,4.827e-05,0,528
H2_631g,5,1,89,1988,LIST,1,1,47,1989,9.2964e-05,2.4065e-05,7.32398e-06,0,528
H2_631g,1736,1,89,1988,LIST,1,1,37,1989,9.5349e-05,2.0338e-05,7.41403e-06,0,528
H2_631g,340955,1,89,1988,LIST,1,1,48,1989,9.3556e-05,1.619e-05,7.38399e-06,0,528
H2_631g,82674392,1,89,1988,LIST,1,1,37,1989,9.4758e-05,2.3755e-05,7.383e-06,0,528
H2_631g,234853455,1,89,1988,LIST,1,1,36,1989,9.9998e-05,2.11e-05,7.33399e-06,0,528
H2_631g,5,1,89,1988,LIST,1,1,47,1989,9.4057e-05,2.3654e-05,7.31397e-06,0,528
