problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
Pauli_ket_ccsd_H6_3D_sto3g.json,24567,6,8721,19178632,,1345,47,1387,1,3.38391,0.115455,0.0106872,0,81412
Pauli_ket_ccsd_H6_3D_sto3g.json,24567,6,8721,19178632,,1345,47,1387,6544478,3.42928,0.122095,0.0083366,0,81416
Pauli_ket_ccsd.json,12345,11,8721,19178632,,1160,84,1224,15260128,4.1837,0.134707,0.0112204,0,137720
Pauli_ket_ccsd.json,12345,8,8721,19178632,,1277,60,1318,8965973,3.56402,0.119988,0.00904191,0,81512
Pauli_ket_ccsd.json,12345,6,8721,19178632,,1353,47,1387,6548006,3.36971,0.117912,0.00826863,0,81540
Pauli_ket_ccsd.json,12345,4,8721,19178632,,1410,36,1463,5205370,3.34596,0.116704,0.00797896,0,81568
Pauli_ket_ccsd.json,12345,3,8721,19178632,,1482,29,1534,4317529,3.26286,0.108656,0.007539,0,46172
Pauli_ket_ccsd.json,12345,2,8721,19178632,,1567,23,1602,3713912,3.32987,0.105132,0.0074276,0,43452
Pauli_ket_ccsd.json,12345,1,8721,19178632,,1744,18,1745,3280913,3.37425,0.099303,0.00742549,0,43368
Pauli_ket_ccsd.json,12345,1,8721,19178632,LIST,1744,18,1745,3280913,3.29755,0.0949804,0.00727989,0,43360
H6_3D_sto3g,123,5,8721,19178632,LIST,1282,66,1315,7372146,3.51967,0.12895,0.00911926,0,81388
H6_3D_sto3g,54764,5,8721,19178632,RANDOM,1322,67,1359,7673810,3.54651,0.075781,0.0101978,0,81272
